ozon_id,n_rows,n_answers,n_tasks,n_pages,n_projects,n_pools,active_days,span_days,skip_rate,tasks_per_page_mean,overlap_mean,overlap_std,price_mean,share_gold_tasks,share_rehab_pools,n_gold,gold_acc,gold_acc_std,gold_longest_success_streak,gold_longest_error_streak,gold_recent5_acc,gold_recent10_acc,gold_first5_acc,gold_class_gap,gold_learning_delta,n_regular,reg_agreement_proxy,reg_agreement_std,regular_answer_entropy,regular_answer_mode_share,per_task_sec_median,per_task_sec_mean,per_task_sec_std,fast_task_share,slow_task_share,mean_hour,weekend_share,answer_entropy,answer_mode_share,main_project_share,pct_label_1,answers_per_active_day,answers_per_span_day,gold_share_among_answers
114060061,24,24,24,24,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,16.873441,21.364366583333332,13.520957010891687,0.0,0.16666666666666666,16.416666666666668,0.0,0.9949848281859701,0.5416666666666666,1.0,0.4583333333333333,24.0,24.0,
114081636,3,3,3,3,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,19.777991,23.748244999999997,17.884101306369185,0.0,0.3333333333333333,19.0,1.0,-0.0,1.0,1.0,0.0,3.0,3.0,
114129728,2,2,2,2,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,28.196144,28.196144,22.593284953641646,0.0,0.5,5.0,0.0,1.0,0.5,1.0,0.5,2.0,2.0,
114148807,25,25,25,25,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,16.371245,19.9121548,11.533359763510088,0.0,0.12,18.0,1.0,0.9709505944546686,0.6,1.0,0.4,25.0,25.0,
114158002,72,72,72,72,3,3,3,4,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,75.94206,93.60787025373135,74.58216530944358,0.0,0.8955223880597015,10.761194029850746,0.26865671641791045,0.9860400318404434,0.5694444444444444,0.3472222222222222,0.5694444444444444,24.0,18.0,
114187779,1,0,1,1,1,1,1,1,0.0,1.0,99.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
114211192,1,0,1,1,1,1,1,1,0.0,1.0,99.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
114232069,11,10,11,11,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,39.220013,41.619762333333334,26.9349240727283,0.0,0.5555555555555556,8.0,0.0,1.0,0.5,1.0,0.5,10.0,10.0,
114248028,24,24,24,24,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,12.417848,23.227067166666668,37.17189468347829,0.041666666666666664,0.125,6.0,0.0,1.0,0.5,1.0,0.5,24.0,24.0,
114268522,25,25,25,25,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,6.841614,11.905304639999999,13.3548741685974,0.2,0.08,14.0,0.0,0.9043814577244937,0.68,1.0,0.68,25.0,25.0,
114300264,6,5,6,6,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,26.544896,27.315437600000003,12.879477649499833,0.0,0.4,6.0,1.0,-0.0,1.0,1.0,1.0,5.0,5.0,
114304216,21,21,21,21,1,1,2,5,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,13.9725955,18.21854295,14.27106029174179,0.1,0.15,20.0,0.6,0.998363672593813,0.5238095238095238,1.0,0.47619047619047616,10.5,4.2,
114306299,3,2,3,3,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,61.235268500000004,61.235268500000004,17.232072756470146,0.0,1.0,12.0,0.0,1.0,0.5,1.0,0.5,2.0,2.0,
114311376,8,7,8,8,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,124.925309,107.80864671428571,56.97259266339433,0.0,1.0,6.571428571428571,0.0,0.9852281360342515,0.5714285714285714,1.0,0.5714285714285714,7.0,7.0,
114351699,50,50,50,50,2,2,3,4,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,30.319448,36.862847872340424,46.44073234330484,0.10638297872340426,0.5106382978723404,8.48936170212766,0.48936170212765956,0.9043814577244937,0.68,0.5,0.32,16.666666666666668,12.5,
114371603,1,0,1,1,1,1,1,1,0.0,1.0,99.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
114371682,25,25,25,25,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,40.552326,41.06021724,20.926857617135664,0.0,0.72,14.0,0.0,0.9988455359952018,0.52,1.0,0.52,25.0,25.0,
114389618,1,0,1,1,1,1,1,1,0.0,1.0,99.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
