ozon_id,n_rows,n_answers,n_tasks,n_pages,n_projects,n_pools,active_days,span_days,skip_rate,tasks_per_page_mean,overlap_mean,overlap_std,price_mean,share_gold_tasks,share_rehab_pools,n_gold,gold_acc,gold_acc_std,gold_longest_success_streak,gold_longest_error_streak,gold_recent5_acc,gold_recent10_acc,gold_first5_acc,gold_class_gap,gold_learning_delta,n_regular,reg_agreement_proxy,reg_agreement_std,regular_answer_entropy,regular_answer_mode_share,per_task_sec_median,per_task_sec_mean,per_task_sec_std,fast_task_share,slow_task_share,mean_hour,weekend_share,answer_entropy,answer_mode_share,main_project_share,pct_label_1,answers_per_active_day,answers_per_span_day,gold_share_among_answers
186913,299,293,299,131,1,39,19,29,0.020066889632107024,2.9665551839464883,5.351170568561873,17.452728781304142,62.207357859531776,0.056856187290969896,0.033444816053511704,17.0,0.8823529411764706,0.3321055820775357,8.0,1.0,1.0,0.9,0.8,0.18181818181818177,0.09999999999999998,276.0,0.9057971014492754,0.2926414165535647,0.9876925088958034,0.5652173913043478,8.929063000000001,19.977623164960182,37.722966795277664,0.0,0.10238907849829351,7.201365187713311,0.12627986348122866,0.9858289117459469,0.5699658703071673,1.0,0.5699658703071673,15.421052631578947,10.10344827586207,0.05802047781569966
187130,1793,1730,1793,620,2,28,19,22,0.03513664249860569,2.943112102621305,6.610708310094813,19.97641291043282,63.27386503067484,0.08588957055214724,0.03904071388733965,152.0,0.8552631578947368,0.35299840978277375,19.0,3.0,1.0,1.0,0.8,0.1541125541125541,0.19999999999999996,1566.0,0.8825031928480205,0.3221142093847503,0.9832737267988876,0.5759897828863346,24.775645,45.96756244731424,80.84235542839758,0.0,0.36833239752947783,20.967434025828187,0.3020774845592364,0.9860723953194755,0.569364161849711,0.9317919075144508,0.569364161849711,91.05263157894737,78.63636363636364,0.08786127167630058
207170,1220,1134,1220,545,2,78,20,23,0.07049180327868852,2.619672131147541,15.34016393442623,32.76693034657559,48.23772950819672,0.16065573770491803,0.13114754098360656,179.0,0.7653631284916201,0.4249603510695661,14.0,4.0,0.6,0.7,0.8,0.10269905533063428,-0.10000000000000009,953.0,0.8982161594963274,0.3025226005015602,0.8839678675785956,0.6977964323189927,110.41739183333334,150.92074192869268,121.12791768929183,0.0,0.9516129032258065,14.415110356536502,0.4168081494057725,0.8966641439199925,0.6869488536155203,0.9982363315696648,0.6869488536155203,56.7,49.30434782608695,0.15784832451499117
443760,19,19,19,19,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,33.55126,43.53257378947369,34.08673892662098,0.0,0.5263157894736842,16.0,0.0,0.9980008838722996,0.5263157894736842,1.0,0.47368421052631576,19.0,19.0,
1822348,12,12,12,12,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,30.248007,96.31612645454544,132.52368946969852,0.0,0.5454545454545454,6.2727272727272725,0.0,0.9798687566511528,0.5833333333333334,1.0,0.4166666666666667,12.0,12.0,
1912869,24,24,24,12,1,1,2,1,0.0,2.0,99.0,0.0,0.0,1.0,1.0,24.0,0.8333333333333334,0.38069349381344053,6.0,1.0,1.0,0.9,0.8,0.3697478991596639,0.09999999999999998,,,,,,11.33662525,30.742568479166664,61.50455734338251,0.0,0.08333333333333333,9.083333333333334,0.0,0.8708644692353644,0.7083333333333334,1.0,0.2916666666666667,12.0,24.0,1.0
1915635,4,3,4,4,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,25.180423,33.826135,27.293230561630786,0.0,0.3333333333333333,18.0,0.0,0.9182958340544896,0.6666666666666666,1.0,0.3333333333333333,3.0,3.0,
1918911,58,58,58,58,3,3,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,6.215401,15.462233339285714,51.33467829291636,0.39285714285714285,0.03571428571428571,8.982142857142858,0.0,0.98623253507245,0.5689655172413793,0.43103448275862066,0.5689655172413793,58.0,58.0,
1994115,2,2,2,2,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,89.327741,89.327741,21.615066361480363,0.0,1.0,7.0,1.0,1.0,0.5,1.0,0.5,2.0,2.0,
2102017,3,3,3,3,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,93.810209,94.631507,38.1430211672191,0.0,1.0,7.0,0.0,0.9182958340544896,0.6666666666666666,1.0,0.3333333333333333,3.0,3.0,
