ozon_id,ds_score
186913,0.8791225326822332
187130,0.8638515383410716
207170,0.8271725208176155
2626863,0.6855757272044533
2643699,0.9228410114697586
2938261,0.8960542992486678
3120549,0.9726730865011337
3195495,0.8711230187803443
3301387,0.6027817320911948
3486070,0.7003589505641497
3612060,0.8052375903930784
3631032,0.8885627847432692
3636620,0.9843254556247478
3704055,0.8966189432230167
3738006,0.9234282237677088
3740929,0.8197397449341746
3808907,0.5000000000533406
3818568,0.9262888296056552
3931361,0.8288940177416269
4153849,0.7241505743547904
4268559,0.9264444795334037
4288593,0.8944440471648154
4339060,0.8463737775480933
4611874,0.8323444127288582
4769891,0.8286869433128959
5035442,0.9087865777712597
5204378,0.9077474061205062
5240088,0.9112268657459323
5332925,0.932843689483625
5343291,0.8550141165237102
5536852,0.8266831909176364
5540744,0.9720003577359266
5583201,0.8521803150236373
5755001,0.8365256760377482
5842059,0.9291674408425032
6075953,0.903320462824619
6213558,0.8797251244138988
6286816,0.8782302095351295
6389366,0.8825050512516239
6686133,0.7440778540677452
6702432,0.9296593220957279
6800749,0.9251964489652218
6827247,0.9002007097232463
6874974,0.9066450237934334
6921689,0.4999999999963908
6937103,0.8669187274564036
7002972,0.7188064312522024
7056609,0.902632313893198
7073021,0.8776806867905125
7166030,0.4049587841879541
7184421,0.6859161832418634
7211289,0.8866499573535873
7302650,0.7632193137330864
7485588,0.80910589244466
7513156,0.919749819748412
7565376,0.8466437180454509
7607260,0.8993532865867517
7607748,0.999999999771281
7651721,0.9452563792596401
7658189,0.5000000000419506
7704656,0.6862426565444479
7900476,0.8644400545629576
8005419,0.8358240571252611
8038088,0.13584123702552292
8225789,0.895947427492927
8487333,0.9384024389546359
8752891,0.9272947336572344
8844342,0.8962469900396739
8898065,0.043716710440576026
8927399,0.8995753747104591
9014201,0.8813765533568455
9345795,0.8240759175297664
9395659,0.9950050932068635
9671222,0.8931785063316882
9701638,0.9439828131330865
9725179,0.8458208809638061
9930745,0.8322830323761701
10127317,0.7585007191124794
10331351,0.9999999998905826
10341596,0.8798516577280379
10345814,0.8526281211097437
10406840,0.9048990155756507
10783208,0.8922427882464844
10801690,0.9999999996407269
11026391,0.9305474202126293
11080897,0.9046692447716482
11388527,0.9412395621879192
11428621,0.8126930557864964
11751997,0.7526275791663257
11779936,0.9306334659830028
11879383,0.7545348592393685
12280656,0.8249623891956378
12414320,0.8447117232409241
13152769,0.8709189017558916
13341303,0.97863761238762
13354965,0.8475430979365491
13468806,0.8913649869928106
13530406,0.9478274118563796
13694321,0.8596371802331972
13762492,0.9351960197168148
14151693,0.9329943819795256
14186098,0.8797014224093641
14190355,0.7408240702639449
14223478,0.8818013183949389
14447507,0.9454836246496177
14571496,0.8875590885333082
14650412,0.685161742283605
14699165,0.5000000000062067
14753110,0.9304957720214839
14850022,0.9122207873113147
14870262,0.8472073623738114
14879168,0.8634854391380644
14986561,0.8846945054203585
15003558,0.8737380402469249
15166638,0.8854122003575138
15278795,0.8333297540938376
15369072,0.8865093513386375
15892063,0.7463287791980457
16034075,0.85999198300528
16058535,0.9941922560663471
16085026,0.8517814470048588
16135011,0.9370431329587074
16144856,0.8792212104528041
16438939,0.8787093761454364
16895551,0.7247064463684398
16898236,0.8772117339151008
17152231,0.8437540574903613
17227147,0.9365630606620206
17242183,0.8334124506017278
17357175,0.6327428726311184
17448192,0.11998522383635774
17453085,0.9710572821937198
17464351,0.89030006886146
17608236,0.9151635583825876
17667344,0.6325724050163974
17763668,0.8619284772039733
17786585,0.9307523358791789
17863940,0.977862315201421
18396576,0.5000000000228477
18700810,0.7874462456873647
18800267,0.8002077503610712
18955909,0.49999999745550155
19003577,0.8326193344929365
19014327,0.8979733605149145
19221727,0.8459169568353925
19513020,0.773098228069196
19572866,0.859785584023796
19630725,0.831533631280648
19732224,0.9343921543366526
20116177,0.589043292993814
20630111,0.755594089630213
21106516,0.9568375235282315
21365697,0.9864462733142496
21648791,0.8243121570498521
21771266,0.8749526407094228
21888015,0.9567875332722717
21930436,0.8126521194005514
21987424,0.913385802466655
22453672,0.8703029210574285
22469140,0.9366531974079217
23142599,0.8586600140875396
23377953,0.9139929556535069
23428861,0.749716478414806
23739020,0.8509312122520248
23995322,0.8610366729679018
24111396,0.6316308126655302
24170371,0.9438657879014527
24709396,0.8739986293038996
25005594,0.9232449164598024
25081363,0.8433092399349795
25102846,0.8757978377933524
25103008,0.83162061474602
25115641,0.88831793670336
25203507,0.899683059567177
25260851,0.8664923945885489
25762053,0.7703266790377343
26112851,0.8778445050502215
26189198,0.8699279479822262
26223215,0.891049641527673
26495075,0.8996358114546625
26501243,0.6672507420013447
26611167,0.8541910229172205
26807900,0.9218505326763793
26945949,0.5000000000390379
27064115,0.5000000000143946
28009717,0.8704755271768521
28102316,0.7501186281711518
28108064,0.8747974022568549
28255181,0.9911386028271139
28291826,0.8355681645865519
28332244,0.8978185747837526
28360109,0.93276164289406
28568508,0.865889525635513
28671162,0.7871515055031538
28711728,0.6906661160790379
28940506,0.8686632633803051
28979857,0.9999999999441852
29143099,0.8162726742428339
29261337,0.816030738470933
29432532,0.764028689965589
29512122,0.8001700416493056
29538855,0.48675990813504133
29573814,0.9299524406660491
29666043,0.9127201328333127
29745561,0.799681529415369
29894780,0.8795284732148663
29900475,0.8832392253948206
29926664,0.8515649440663491
29939112,0.8930199287823324
29949469,0.8927961165710234
29969891,0.7696662812665496
30066445,0.7909032540230637
30102581,0.8465457900165425
30225560,0.9169612944540315
30239544,0.7444887061150428
30294951,0.9148999452674946
30440661,0.8894975055550687
30462033,0.6647270400871247
30504473,0.880961650589173
30521527,0.8361016896296078
30599048,0.8456585621215952
30621565,0.754267301321384
30666880,0.8962541885017815
30788185,0.8751288583687348
30827383,0.8201844979595424
30992919,0.49999999989646615
31011185,0.8885072370492023
31012073,0.889586290547649
31113085,0.9999999998353644
31141527,0.9413167875275543
31192739,0.5000000002011104
31206332,0.5898878769226189
31334233,0.9513543322274971
31361122,0.8359221018546262
31520035,0.8196149850830764
31548893,0.6223258251132067
31597771,0.8686715507853924
31776074,0.9639222198375663
31781949,0.8741160449373295
31924095,0.8938434257411316
31955408,0.8657788758502734
32164590,0.8211974754483704
32198016,0.8726173221947197
32216277,0.935976844607881
32223362,0.9566240655067572
32244027,0.7508647816546024
32309192,0.7847064063804692
32359554,0.8582048006763991
32505988,0.8982553847916088
32510260,0.6413362621793883
32534998,0.500000000019475
32691199,0.9037218925727543
32756105,0.8912307910205117
32860805,0.864922365693839
32928452,0.9471688906040359
32947233,0.8394921239982317
32966186,0.8435176308774684
33043570,0.9246117522829961
33088573,0.8273915478537819
33103076,0.755839154667106
33153168,0.8055689600891311
33224551,0.837034041329332
33280064,0.9226619606770716
33294145,0.670159986853953
33385092,0.8733607448789344
33556328,0.9019404659806594
33613114,0.766070723714184
33628173,0.8514442534785236
33662303,0.6460720005974345
33668959,0.8883669047507767
33678095,0.8681014097489739
33706974,0.7749276396283685
33748031,0.9114522434879824
33880063,0.9999999999355906
33992327,0.9409640097077949
34001117,0.6934010048039437
34067598,0.8838370285207593
34093373,0.8561219305948645
34098938,0.8135910060126152
34172481,0.9516765587087953
34245094,0.6614359520601979
34265226,0.7961778682340865
34419630,0.9999999999438887
34428475,0.985252279366833
34490684,0.8010202040997934
34611276,0.8849462803280967
34706225,0.8204088772543763
34710160,0.8942665296887888
34744294,0.6645009378749053
34830999,0.9120685273204876
34887749,0.49999999994684485
34913609,0.5000000000369124
34962480,0.7410312663381141
34969711,0.8082438118956758
34978606,0.6007924049329707
