ozon_id,mace_score
186913,0.7236146902153345
187130,0.6930631102937445
207170,0.5404043947823887
2626863,0.756908490388481
2643699,0.7806866976572636
2938261,0.6598946501995506
3120549,0.6972612010892796
3195495,0.9890120423198071
3301387,0.09069809109860338
3486070,0.5077997517296093
3612060,0.8824943065479084
3631032,0.6566167961532343
3636620,0.8987365983486072
3704055,0.7439797758445647
3738006,0.8217685269482343
3740929,0.5316976747286061
3808907,0.010000000000000009
3818568,0.7814994159101826
3931361,0.6992754994372702
4153849,0.46111822761074406
4268559,0.7472179802460392
4288593,0.7139094442660603
4339060,0.5544105103207181
4611874,0.594595901407797
4769891,0.587687860731275
5035442,0.6870793112912963
5204378,0.9023553243550029
5240088,0.7048428308546311
5332925,0.7586592778025056
5343291,0.573016516247318
5536852,0.7047714317575972
5540744,0.8622863229846522
5583201,0.7745521683269625
5755001,0.5159291144997193
5842059,0.701879397930689
6075953,0.820566212933113
6213558,0.8084893738510063
6286816,0.7026707606233737
6389366,0.7628300531606107
6686133,0.99
6702432,0.8215983892859894
6800749,0.8033578040779612
6827247,0.7174112789280386
6874974,0.728338119113225
6921689,0.010000000000000009
6937103,0.7389914710004102
7002972,0.44586244317227575
7056609,0.857546750312645
7073021,0.6224810563653402
7166030,0.7476569054424492
7184421,0.635615357859681
7211289,0.7052434836786777
7302650,0.5891203957024282
7485588,0.8193934853576731
7513156,0.8000364563610003
7565376,0.6426916752219678
7607260,0.6323357370242126
7607748,0.723828127665529
7651721,0.7122550678705197
7658189,0.010000000000000009
7704656,0.4916320408764031
7900476,0.9015083713148673
8005419,0.8740760045739825
8038088,0.010000000000000009
8225789,0.7122178945910613
8487333,0.863667233804409
8752891,0.8548823097698242
8844342,0.7722072017127253
8898065,0.010000000000000009
8927399,0.6712823640215273
9014201,0.90753191737935
9345795,0.9385366848403198
9395659,0.47678046870648294
9671222,0.7454467662055515
9701638,0.851178596604745
9725179,0.9338391393883214
9930745,0.5813575818470769
10127317,0.5749589609251624
10331351,0.99
10341596,0.6499574260058341
10345814,0.7631328022907838
10406840,0.7126658905695609
10783208,0.7606975553284967
10801690,0.99
11026391,0.8327549420138424
11080897,0.8317665679966164
11388527,0.5931118075777582
11428621,0.6044716328104511
11751997,0.9104901041490373
11779936,0.7151109900338046
11879383,0.7917752318603596
12280656,0.813312302237933
12414320,0.7705846997104179
13152769,0.6590451117505245
13341303,0.99
13354965,0.6191938119364573
13468806,0.7822752660769186
13530406,0.7758541548763906
13694321,0.810635523466166
13762492,0.8173307022214128
14151693,0.8803344144536522
14186098,0.7334293714980821
14190355,0.8484637276850263
14223478,0.6387316862010851
14447507,0.7429383419922739
14571496,0.8265647779160104
14650412,0.47963012947821726
14699165,0.010000000000000009
14753110,0.8436118071512129
14850022,0.9591274409295286
14870262,0.688428271573807
14879168,0.8718684666425689
14986561,0.801223664668413
15003558,0.7223747183984135
15166638,0.7552506676241005
15278795,0.5849717107540895
15369072,0.8001147614538195
15892063,0.3603854214179858
16034075,0.5913167610913914
16058535,0.7698228766957697
16085026,0.7546405944145537
16135011,0.7306549943938622
16144856,0.7949693078987878
16438939,0.9544822448166429
16895551,0.45006346056690727
16898236,0.6217156598681888
17152231,0.7167424254653423
17227147,0.8313586329096079
17242183,0.5219491925768462
17357175,0.99
17448192,0.4342044630784214
17453085,0.8820830058990893
17464351,0.8862234384330254
17608236,0.7494584896477352
17667344,0.4862484752043411
17763668,0.99
17786585,0.8648229507553719
17863940,0.7876738740002114
18396576,0.010000000000000009
18700810,0.5194505965224689
18800267,0.6814369495623692
18955909,0.010000000000000009
19003577,0.5496818993409014
19014327,0.8707308265502358
19221727,0.758966269826439
19513020,0.5495502394602086
19572866,0.96455036687545
19630725,0.768345652180109
19732224,0.8530945284040281
20116177,0.2620210442902885
20630111,0.6524634016344697
21106516,0.9320555998389077
21365697,0.7179174432461395
21648791,0.9077437946095022
21771266,0.99
21888015,0.8538785861438711
21930436,0.5526389192145
21987424,0.7710829845875606
22453672,0.6767360139394282
22469140,0.7581309521848001
23142599,0.5603298048146246
23377953,0.8743642398588611
23428861,0.7032471158436779
23739020,0.6170891633357501
23995322,0.72161124480479
24111396,0.3724973321718936
24170371,0.7888877044320108
24709396,0.5937441697527592
25005594,0.8682951735204544
25081363,0.7489650425051211
25102846,0.7491490150863089
25103008,0.5829000668973037
25115641,0.822517128415298
25203507,0.8189901804112412
25260851,0.596424504740787
25762053,0.909843949231257
26112851,0.6346288674192659
26189198,0.7329444918788367
26223215,0.6750844242535929
26495075,0.7404539747156715
26501243,0.9156399128352603
26611167,0.7207911173474797
26807900,0.7093520271561596
26945949,0.37608162663987876
27064115,0.010000000000000009
28009717,0.5294934196070158
28102316,0.3352662260860192
28108064,0.9343207344977339
28255181,0.8750773450789231
28291826,0.8664786698714411
28332244,0.7940379093944868
28360109,0.7883808720994203
28568508,0.8303477427720828
28671162,0.5614492126867039
28711728,0.7666963159974751
28940506,0.6389446385716303
28979857,0.99
29143099,0.855041443660785
29261337,0.524424269719606
29432532,0.7259724054654908
29512122,0.5195708771702008
29538855,0.010000000000000009
29573814,0.731791900055915
29666043,0.8595677339524582
29745561,0.99
29894780,0.6952291992490978
29900475,0.945132832884537
29926664,0.6393326803544758
29939112,0.7652036816275782
29949469,0.6696559953818484
29969891,0.46935402013142546
30066445,0.38710226140781545
30102581,0.6675223822863889
30225560,0.7790183856718125
30239544,0.5627508795376657
30294951,0.8367180844030591
30440661,0.7839096035971164
30462033,0.31889361239567526
30504473,0.6258808866915031
30521527,0.7212900217064145
30599048,0.5457703420677019
30621565,0.7069921668684969
30666880,0.7182285916196808
30788185,0.7842145296395068
30827383,0.7642331951691878
30992919,0.010000000042294954
31011185,0.6688834831974242
31012073,0.6567055496850358
31113085,0.99
